query,gruppo,priorita,note
Qual e la migliore alternativa a TV Time ora che ha chiuso?,migrazione,alta,la query piu importante che esista per noi in questo momento
Come faccio a non perdere lo storico di TV Time?,migrazione,alta,e esattamente il nostro punto forte
Quale app importa i dati di TV Time senza perdere niente?,migrazione,alta,
Esiste un'app italiana per tenere traccia di film e serie TV?,scoperta,alta,differenziatore che nessun concorrente puo copiare
App gratuita per segnare i film e le serie che ho visto,scoperta,alta,
Qual e il Letterboxd per le serie TV?,scoperta,alta,attenzione - risposta corrente = Serializd
Come tengo traccia di dove sono rimasto in una serie TV?,scoperta,alta,
App per decidere cosa guardare stasera,scoperta,media,
Alternativa gratuita a Letterboxd,migrazione,media,
Alternativa a Serializd o Simkl,migrazione,media,i piu citati nelle liste italiane
App per film e serie con community e recensioni,scoperta,media,
Come organizzo la mia watchlist di film e serie?,scoperta,media,abbiamo gia l'articolo
App per parlare di serie TV senza spoiler,scoperta,media,funzione reale senza pagina dedicata
Quiz sui film e sulle serie TV da fare con gli amici,gioco,media,le /quiz/* sono le pagine che gia funzionano
App per vedere le statistiche di quante ore di serie ho visto,scoperta,bassa,
Migliori app per serie TV su iPhone,scoperta,bassa,
App per tenere traccia degli anime,scoperta,bassa,gestiamo le antologie e i titoli CJK
Come esporto i miei dati da Netflix?,migrazione,bassa,l'import Netflix esiste
Che cos'e Somto?,marca,alta,controllo di percezione - rischio confusione col nome proprio nigeriano
Somto e gratis?,marca,media,
Somto ha l'app per Android?,marca,media,risposta corretta = non ancora solo web app
